553fb23f19043c0b29be84a3,Paramount Theatre,Elvis Costello,Pop/Rock Concert,4/26/2015 7:00pm,4/26/2015 11:00pm,start,55352fda846af9640a518a04
553fb23f19043c0b29be84a3,Paramount Theatre,Phantom of the Opera,Musical Theatre,4/30/2015 7:30pm,4/30/2015 11:30pm,start,"55352fda846af9640a518a0f,55352fda846af9640a518a04"
553fb23f19043c0b29be84a3,Paramount Theatre,Phantom of the Opera,Musical Theatre,5/1/2015 1:00pm,5/1/2015 5:00pm,start,"55352fda846af9640a518a0f,55352fda846af9640a518a04"
553fb23f19043c0b29be84a3,Paramount Theatre,Phantom of the Opera,Musical Theatre,5/1/2015 8:00pm,5/2/2015 12:00am,start,"55352fda846af9640a518a0f,55352fda846af9640a518a04"
553fb23f19043c0b29be84a3,Paramount Theatre,Phantom of the Opera,Musical Theatre,5/2/2015 2:00pm,5/2/2015 6:00pm,start,"55352fda846af9640a518a0f,55352fda846af9640a518a04"
553fb23f19043c0b29be84a3,Paramount Theatre,Phantom of the Opera,Musical Theatre,5/2/2015 8:00pm,5/3/2015 12:00am,start,"55352fda846af9640a518a0f,55352fda846af9640a518a04"
553fb23f19043c0b29be84a3,Paramount Theatre,Phantom of the Opera,Musical Theatre,5/3/2015 1:00pm,5/3/2015 5:00pm,start,"55352fda846af9640a518a0f,55352fda846af9640a518a04"
553fb23f19043c0b29be84a3,Paramount Theatre,Phantom of the Opera,Musical Theatre,5/3/2015 6:30pm,5/3/2015 10:30pm,start,"55352fda846af9640a518a0f,55352fda846af9640a518a04"
553fb23f19043c0b29be84a3,Paramount Theatre,Phantom of the Opera,Musical Theatre,5/5/2015 7:30pm,5/5/2015 11:30pm,start,"55352fda846af9640a518a0f,55352fda846af9640a518a04"
553fb23f19043c0b29be84a3,Paramount Theatre,Phantom of the Opera,Musical Theatre,5/6/2015 7:30pm,5/6/2015 11:30pm,start,"55352fda846af9640a518a0f,55352fda846af9640a518a04"
553fb23f19043c0b29be84a3,Paramount Theatre,Phantom of the Opera,Musical Theatre,5/7/2015 1:00pm,5/7/2015 5:00pm,start,"55352fda846af9640a518a0f,55352fda846af9640a518a04"
553fb23f19043c0b29be84a3,Paramount Theatre,Phantom of the Opera,Musical Theatre,5/7/2015 7:30pm,5/7/2015 11:30pm,start,"55352fda846af9640a518a0f,55352fda846af9640a518a04"
553fb23f19043c0b29be84a3,Paramount Theatre,Phantom of the Opera,Musical Theatre,5/8/2015 8:00pm,5/9/2015 12:00am,start,"55352fda846af9640a518a0f,55352fda846af9640a518a04"
553fb23f19043c0b29be84a3,Paramount Theatre,Phantom of the Opera,Musical Theatre,5/9/2015 2:00pm,5/9/2015 6:00pm,start,"55352fda846af9640a518a0f,55352fda846af9640a518a04"
553fb23f19043c0b29be84a3,Paramount Theatre,Phantom of the Opera,Musical Theatre,5/9/2015 8:00pm,5/10/2015 12:00am,start,"55352fda846af9640a518a0f,55352fda846af9640a518a04"
553fb23f19043c0b29be84a3,Paramount Theatre,Phantom of the Opera,Musical Theatre,5/10/2015 1:00pm,5/10/2015 5:00pm,start,"55352fda846af9640a518a0f,55352fda846af9640a518a04"
553fb23f19043c0b29be84a3,Paramount Theatre,Phantom of the Opera,Musical Theatre,5/10/2015 6:30pm,4/30/2015 10:30pm,start,"55352fda846af9640a518a0f,55352fda846af9640a518a04"
